gene_id	symbol	description	locus	human_gene_id	human_gene_name
SOHLH2	SOHLH2	spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2	25:4414215-4487862	<none>	<none>
MARCHF10	MARCHF10	probable E3 ubiquitin-protein ligase MARCHF10	9:15958697-16047459	162333	MARCHF10
SOX18	SOX18	transcription factor SOX-18	24:48341512-48343485	54345	SOX18
ZNF286A	ZNF286A	zinc finger protein 286A	5:39413380-39462184	57335	ZNF286A
TMEM82	TMEM82	transmembrane protein 82	2:81340810-81344778	388595	TMEM82
ZC3H12D	ZC3H12D	probable ribonuclease ZC3H12D	1:40511853-40537572	340152	ZC3H12D
LOC119868515	LOC119868515	uncharacterized LOC119868515	X:104067786-104175571	<none>	<none>
LOC119865128	LOC119865128	uncharacterized LOC119865128	22:13835252-13836377	<none>	<none>
LOC119877570	LOC119877570	uncharacterized LOC119877570	26:21457618-21516771	<none>	<none>
ZPLD1	ZPLD1	zona pellucida-like domain-containing protein 1	33:9014895-9095223	131368	ZPLD1
HOXB7	HOXB7	homeobox protein Hox-B7	9:24821454-24825898	3217	HOXB7
LOC119872030	LOC119872030	uncharacterized LOC119872030	5:63354511-63357941	<none>	<none>
LOC119866038	LOC119866038	small nucleolar RNA SNORD20	25:43516523-43516601	<none>	<none>
ADSS1	ADSS1	adenylosuccinate synthetase isozyme 1	8:72689260-72705927	122622	ADSS1
LOC119865159	LOC119865159	uncharacterized LOC119865159	22:61361148-61363791	<none>	<none>
LOC119867042	LOC119867042	"uncharacterized LOC119867042, transcript variant X2"	31:13379911-13514899	<none>	<none>
WFDC1	WFDC1	WAP four-disulfide core domain protein 1	5:68565748-68593720	58189	WFDC1
TNFRSF11B	TNFRSF11B	tumor necrosis factor receptor superfamily member 11B	13:18533442-18560917	4982	TNFRSF11B
LOC119876306	LOC119876306	uncharacterized LOC119876306	5:58169886-58174626	<none>	<none>
HSD17B13	HSD17B13	17-beta-hydroxysteroid dehydrogenase 13	32:29180080-29200062	345275	HSD17B13
EML5	EML5	echinoderm microtubule-associated protein-like 5	8:60178155-60361241	161436	EML5
RDH16	RDH16	retinol dehydrogenase 16	10:1478831-1488339	8608	RDH16
GRIN2A	GRIN2A	"glutamate receptor ionotropic, NMDA 2A"	6:32426676-32972580	2903	GRIN2A
LOC102155720	LOC102155720	uncharacterized protein LOC102155720	17:467171-472116	<none>	<none>
LOC111092009	LOC111092009	uncharacterized LOC111092009	23:50240663-50250766	<none>	<none>
LOC119864149	LOC119864149	uncharacterized LOC119864149	18:256671-259775	<none>	<none>
C5H11orf65	C5H11orf65	protein MFI	5:24143466-24203265	160140	C11orf65
LOC102154729	LOC102154729	"uncharacterized LOC102154729, transcript variant X6"	16:18782754-18802632	<none>	<none>
MEGF10	MEGF10	multiple epidermal growth factor-like domains protein 10	11:16155094-16474941	84466	MEGF10
LOC111096028	LOC111096028	uncharacterized protein LOC111096028	5:74558184-74561234	<none>	<none>
H2AC5	H2AC5	histone H2A type 1-E	35:25416852-25418152	<none>	<none>
LOC111096292	LOC111096292	"uncharacterized LOC111096292, transcript variant X8"	6:26526376-26552188	<none>	<none>
LOC119877751	LOC119877751	uncharacterized LOC119877751	30:38482865-38486765	<none>	<none>
LOC119872852	LOC119872852	uncharacterized LOC119872852	8:22753282-22756825	<none>	<none>
LOC102154607	LOC102154607	uncharacterized gene	23:35598159-35602385	<none>	<none>
LOC111093844	LOC111093844	"uncharacterized LOC111093844, transcript variant X3"	34:41181753-41375847	<none>	<none>
ADGRL4	ADGRL4	adhesion G protein-coupled receptor L4	6:68602665-68712408	64123	ADGRL4
LOC111090979	LOC111090979	"uncharacterized LOC111090979, transcript variant X3"	18:46436687-46439624	<none>	<none>
TMEM132B	TMEM132B	transmembrane protein 132B	26:4633491-5042968	114795	TMEM132B
LIF	LIF	LIF interleukin 6 family cytokine	26:23812337-23815691	3976	LIF
LOC100685344	LOC100685344	uncharacterized gene	37:30736870-30738605	<none>	<none>
LOC119864710	LOC119864710	uncharacterized LOC119864710	20:44707656-44715879	<none>	<none>
LOC106558479	LOC106558479	"uncharacterized LOC106558479, transcript variant X3"	X:9624704-9681081	<none>	<none>
LOC119873873	LOC119873873	uncharacterized LOC119873873	11:14276999-14288516	<none>	<none>
ALB	ALB	albumin	13:63202547-63219341	213	ALB
LOC119873515	LOC119873515	small nucleolar RNA U3	0:23306-23520	<none>	<none>
FILIP1L	FILIP1L	filamin A-interacting protein 1-like	33:6851192-7149431	11259	FILIP1L
OSM	OSM	oncostatin-M	26:23830630-23834652	5008	OSM
HSBP1L1	HSBP1L1	heat shock factor-binding protein 1-like protein 1	1:710687-714772	440498	HSBP1L1
NRCAM	NRCAM	neuronal cell adhesion molecule	18:12438363-12713835	4897	NRCAM
LOC119866873	LOC119866873	"uncharacterized LOC119866873, transcript variant X2"	30:9066893-9102645	<none>	<none>
LOC102153707	LOC102153707	zinc finger protein 502-like	1:100383289-100395252	<none>	<none>
LOC111097355	LOC111097355	"uncharacterized LOC111097355, transcript variant X2"	9:22137995-22158146	<none>	<none>
FAM83G	FAM83G	protein FAM83G	5:41269380-41299741	644815	FAM83G
LOC102154417	LOC102154417	"uncharacterized LOC102154417, transcript variant X9"	5:22679363-22718828	<none>	<none>
LOC119874311	LOC119874311	uncharacterized LOC119874311	12:66030584-66038039	<none>	<none>
LOC119876125	LOC119876125	protein SREK1IP1-like	3:12807679-12816954	<none>	<none>
CKLF	CKLF	chemokine like factor	5:83295194-83312111	<none>	<none>
KRT24	KRT24	"keratin, type I cytoskeletal 24"	9:21917777-21922835	192666	KRT24
LOC100856323	LOC100856323	uncharacterized gene	17:36975690-36976811	<none>	<none>
TNFRSF8	TNFRSF8	tumor necrosis factor receptor superfamily member 8	2:83661577-83702020	943	TNFRSF8
LOC119869452	LOC119869452	U5 spliceosomal RNA	15:15678560-15678675	<none>	<none>
LOC111094954	LOC111094954	uncharacterized protein LOC111094954	X:96057796-96073366	<none>	<none>
LOC102152964	LOC102152964	microtubule-associated protein RP/EB family member 1-like	17:37807778-37817627	<none>	<none>
FOXL1	FOXL1	forkhead box protein L1	5:66774376-66780196	2300	FOXL1
LOC119864429	LOC119864429	uncharacterized protein LOC119864429	19:3374011-3378005	<none>	<none>
LOC102155027	LOC102155027	uncharacterized LOC102155027	5:30755219-30767226	<none>	<none>
LOC100687983	LOC100687983	annexin A2-like	1:94967436-94975373	<none>	<none>
LOC102153409	LOC102153409	uncharacterized LOC102153409	10:65249136-65251517	<none>	<none>
SIT1	SIT1	signaling threshold-regulating transmembrane adapter 1	11:52485186-52486848	27240	SIT1
LOC102151579	LOC102151579	uncharacterized protein LOC102151579	35:21551590-21889655	<none>	<none>
LOC111090925	LOC111090925	"uncharacterized LOC111090925, transcript variant X4"	18:26131343-26137841	<none>	<none>
SOX30	SOX30	transcription factor SOX-30	4:53473267-53502568	11063	SOX30
LOC119873444	LOC119873444	uncharacterized LOC119873444	9:59554762-59556986	<none>	<none>
LOC111091380	LOC111091380	"uncharacterized LOC111091380, transcript variant X2"	20:50669480-50725837	<none>	<none>
LOC480476	LOC480476	intercellular adhesion molecule 5	9:15106138-15118436	<none>	<none>
TBX10	TBX10	T-box transcription factor TBX10	18:50373922-50376423	347853	TBX10
RNF223	RNF223	RING finger protein 223	5:56766219-56769008	401934	RNF223
FAM162B	FAM162B	protein FAM162B	1:57712034-57722645	221303	FAM162B
H2BU1	H2BU1	histone H2B type 3-B	14:276892-278272	<none>	<none>
LOC119867174	LOC119867174	"uncharacterized LOC119867174, transcript variant X1"	32:33540050-33547595	<none>	<none>
HNF4A	HNF4A	hepatocyte nuclear factor 4-alpha	24:32472512-32533044	3172	HNF4A
LOC119871840	LOC119871840	uncharacterized LOC119871840	5:31973605-31975752	<none>	<none>
SAMD15	SAMD15	sterile alpha motif domain-containing protein 15	8:50499750-50510788	161394	SAMD15
LOC111090590	LOC111090590	"uncharacterized LOC111090590, transcript variant X4"	17:33810456-33832579	<none>	<none>
LOC119878839	LOC119878839	uncharacterized gene	0:39361-42211	<none>	<none>
ADM5	ADM5	putative adrenomedullin-5-like protein	1:107524253-107525714	199800	ADM5
LOC119870808	LOC119870808	"uncharacterized LOC119870808, transcript variant X5"	1:71072177-71074305	<none>	<none>
IL36G	IL36G	interleukin-36 gamma	17:37326118-37330966	56300	IL36G
LOC119867305	LOC119867305	"uncharacterized LOC119867305, transcript variant X15"	33:5063779-5118960	<none>	<none>
MATN3	MATN3	matrilin-3	17:15076833-15093993	4148	MATN3
LAMA2	LAMA2	laminin subunit alpha-2	1:68070825-68654877	3908	LAMA2
CA4	CA4	carbonic anhydrase 4	9:36294940-36303505	762	CA4
CRTAM	CRTAM	cytotoxic and regulatory T-cell molecule	5:11489452-11520016	56253	CRTAM
LOC119877856	LOC119877856	insulin receptor substrate 4-like	34:26801790-26912595	<none>	<none>
OSR2	OSR2	protein odd-skipped-related 2	13:1128475-1140925	116039	OSR2
LOC119865695	LOC119865695	uncharacterized LOC119865695	24:40364930-40366680	<none>	<none>
TDRD9	TDRD9	ATP-dependent RNA helicase TDRD9	8:72014293-72121198	122402	TDRD9
LOC100856087	LOC100856087	uncharacterized gene	X:57655047-57657683	<none>	<none>
HSPB3	HSPB3	heat shock protein beta-3	4:61871138-61976297	8988	HSPB3
LOC119874271	LOC119874271	uncharacterized LOC119874271	12:20818344-20856317	<none>	<none>
LOC119874694	LOC119874694	uncharacterized gene	16:6604904-6605470	<none>	<none>
LOC106558979	LOC106558979	"uncharacterized LOC106558979, transcript variant X4"	6:78020290-78026208	<none>	<none>
LOC111094898	LOC111094898	"uncharacterized LOC111094898, transcript variant X3"	3:66927281-67009682	<none>	<none>
IL23R	IL23R	interleukin-23 receptor	5:43641801-43707245	149233	IL23R
LOC111095625	LOC111095625	"uncharacterized LOC111095625, transcript variant X3"	4:69488889-69495365	<none>	<none>
LOC119873475	LOC119873475	uncharacterized gene	9:49841770-49841836	<none>	<none>
LOC102156827	LOC102156827	"uncharacterized LOC102156827, transcript variant X12"	35:19416261-19726175	<none>	<none>
LOC119876415	LOC119876415	dnaJ homolog subfamily A member 1-like	7:69228383-69229221	<none>	<none>
LOC119872970	LOC119872970	uncharacterized gene	8:10616249-10618126	<none>	<none>
GPRIN3	GPRIN3	G protein-regulated inducer of neurite outgrowth 3	32:27392979-27463135	285513	GPRIN3
LHX2	LHX2	LIM/homeobox protein Lhx2	9:58910400-58930871	9355	LHX2
LOC111096091	LOC111096091	uncharacterized LOC111096091	5:6406611-6416881	<none>	<none>
LOC119871893	LOC119871893	uncharacterized LOC119871893	5:57577598-57579981	<none>	<none>
CFAP61	CFAP61	cilia- and flagella-associated protein 61	24:3403868-3679847	26074	CFAP61
TMEM266	TMEM266	transmembrane protein 266	30:40366560-40459732	123591	TMEM266
HRC	HRC	sarcoplasmic reticulum histidine-rich calcium-binding protein	1:107979496-107983527	3270	HRC
LOC119869596	LOC119869596	"uncharacterized LOC119869596, transcript variant X12"	16:14841289-14858045	<none>	<none>
LOC119869356	LOC119869356	uncharacterized LOC119869356	15:41120869-41122209	<none>	<none>
MESP2	MESP2	mesoderm posterior protein 2	3:53246094-53248395	145873	MESP2
RASAL1	RASAL1	rasGAP-activating-like protein 1	26:10831027-10861100	8437	RASAL1
NEBL	NEBL	nebulette	2:9709999-10052067	10529	NEBL
LOC119870026	LOC119870026	zinc finger protein castor homolog 1-like	2:84760377-84768886	<none>	<none>
LOC111097656	LOC111097656	uncharacterized LOC111097656	10:27873657-27883638	<none>	<none>
RBM20	RBM20	RNA-binding protein 20	28:22316433-22387379	282996	RBM20
LOC119868447	LOC119868447	"uncharacterized LOC119868447, transcript variant X3"	15:64213927-64217363	<none>	<none>
ADAM32	ADAM32	disintegrin and metalloproteinase domain-containing protein 32	16:26968171-27150845	203102	ADAM32
LOC119877047	LOC119877047	"uncharacterized LOC119877047, transcript variant X6"	15:61736426-61773793	<none>	<none>
LOC119871597	LOC119871597	uncharacterized protein LOC119871597	4:73870428-74020447	<none>	<none>
DPF1	DPF1	zinc finger protein neuro-d4	1:115595566-115608875	8193	DPF1
IQSEC3	IQSEC3	IQ motif and SEC7 domain-containing protein 3	27:3784423-3895047	440073	IQSEC3
LOC119877562	LOC119877562	"proline dehydrogenase 1, mitochondrial-like"	26:29107070-29120056	<none>	<none>
LOC119871125	LOC119871125	"uncharacterized LOC119871125, transcript variant X5"	3:18023193-18047921	<none>	<none>
TMC7	TMC7	transmembrane channel-like protein 7	6:26093860-26156029	79905	TMC7
LOC119876511	LOC119876511	uncharacterized LOC119876511	8:70532125-70546909	<none>	<none>
LOC111098392	LOC111098392	"uncharacterized LOC111098392, transcript variant X18"	12:66733585-66753533	<none>	<none>
LPAR3	LPAR3	lysophosphatidic acid receptor 3	6:63578995-63657390	23566	LPAR3
BICD1	BICD1	protein bicaudal D homolog 1	27:29869159-30094880	636	BICD1
RIMKLB	RIMKLB	beta-citrylglutamate synthase B	27:9008449-9179531	57494	RIMKLB
BSN	BSN	protein bassoon	20:40006478-40050065	8927	BSN
LOC111092687	LOC111092687	uncharacterized gene	26:27061417-27061881	<none>	<none>
LOC119872833	LOC119872833	uncharacterized LOC119872833	8:13147063-13155294	<none>	<none>
LOC111097883	LOC111097883	uncharacterized LOC111097883	11:66905213-66911595	<none>	<none>
LOC111091088	LOC111091088	"uncharacterized LOC111091088, transcript variant X2"	19:3769237-3785508	<none>	<none>
LOC119871970	LOC119871970	uncharacterized LOC119871970	5:83417993-83517140	<none>	<none>
SLC39A8	SLC39A8	metal cation symporter ZIP8	32:16083043-16156566	64116	SLC39A8
LOC102152002	LOC102152002	"uncharacterized LOC102152002, transcript variant X7"	25:43645007-43645957	<none>	<none>
H4C6	H4C6	histone H4-like	35:25637722-25644960	<none>	<none>
OTUD7A	OTUD7A	OTU domain-containing protein 7A	3:37531469-37918419	161725	OTUD7A
ZNF285	ZNF285	zinc finger protein 285	1:111596399-111635012	26974	ZNF285
CEP126	CEP126	centrosomal protein of 126 kDa	5:29700894-29802264	57562	CEP126
LOC102152874	LOC102152874	"translation initiation factor IF-2-like, transcript variant X5"	5:14841322-14845597	<none>	<none>
LOC119876577	LOC119876577	uncharacterized gene	8:76286120-76286584	<none>	<none>
LOC119876548	LOC119876548	uncharacterized gene	8:75084890-75089414	<none>	<none>
ASTN1	ASTN1	astrotactin-1	7:22350297-22647240	460	ASTN1
CRB1	CRB1	protein crumbs homolog 1	7:5042374-5255595	23418	CRB1
LOC106559712	LOC106559712	"uncharacterized LOC106559712, transcript variant X2"	14:308097-314173	<none>	<none>
LOC111093348	LOC111093348	uncharacterized gene	30:1345447-1347782	<none>	<none>
SPRED3	SPRED3	"sprouty-related, EVH1 domain-containing protein 3"	1:115434230-115444965	399473	SPRED3
LOC119876547	LOC119876547	uncharacterized gene	8:74996909-75004796	<none>	<none>
RPGRIP1	RPGRIP1	RPGR interacting protein 1	15:18442510-18513618	57096	RPGRIP1
NXPH1	NXPH1	neurexophilin-1	14:23771960-24205470	30010	NXPH1
LOC106558911	LOC106558911	uncharacterized gene	6:59731337-59739413	<none>	<none>
LOC111091408	LOC111091408	uncharacterized LOC111091408	20:57821858-57824161	<none>	<none>
LOC111098329	LOC111098329	uncharacterized LOC111098329	12:40370099-40471460	<none>	<none>
LOC100688050	LOC100688050	uncharacterized gene	5:77167777-77174275	<none>	<none>
STYK1	STYK1	tyrosine-protein kinase STYK1	27:11026868-11059723	55359	STYK1
LOC119876088	LOC119876088	uncharacterized LOC119876088	2:83406290-83414761	<none>	<none>
SAMD5	SAMD5	sterile alpha motif domain-containing protein 5	1:38771531-38828974	389432	SAMD5
LOC119871435	LOC119871435	"uncharacterized LOC119871435, transcript variant X6"	4:5509240-5526598	<none>	<none>
LOC111090706	LOC111090706	"uncharacterized LOC111090706, transcript variant X4"	17:59480747-59482992	<none>	<none>
LOC119873942	LOC119873942	uncharacterized LOC119873942	11:52548422-52553137	<none>	<none>
LOC119877368	LOC119877368	"uncharacterized LOC119877368, transcript variant X2"	21:43226020-43249710	<none>	<none>
LGI3	LGI3	leucine-rich repeat LGI family member 3	25:35264308-35272778	203190	LGI3
HOXB5	HOXB5	homeobox protein Hox-B5	9:24805163-24807879	3215	HOXB5
DLX6	DLX6	homeobox protein DLX-6	14:22028123-22048798	1750	DLX6
PDE6H	PDE6H	"retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"	27:14516903-14540640	5149	PDE6H
LOC119873164	LOC119873164	U6 spliceosomal RNA	8:28922252-28922358	<none>	<none>
LOC612254	LOC612254	noncompact myelin-associated protein	2:74466440-74484344	400746	NCMAP
PLPPR2	PLPPR2	phospholipid phosphatase-related protein type 2	20:50355872-50364535	64748	PLPPR2
LOC102153761	LOC102153761	"uncharacterized LOC102153761, transcript variant X2"	19:843723-884612	<none>	<none>
LOC102154516	LOC102154516	uncharacterized gene	13:2051671-2052689	<none>	<none>
LOC111096725	LOC111096725	uncharacterized LOC111096725	7:40815630-40816487	<none>	<none>
LOC119866557	LOC119866557	uncharacterized protein LOC119866557	28:3681070-3697660	<none>	<none>
TLR10	TLR10	toll like receptor 10	3:74141129-74143552	81793	TLR10
LOC119866765	LOC119866765	"uncharacterized LOC119866765, transcript variant X2"	29:42322587-42325298	<none>	<none>
CELF3	CELF3	CUGBP Elav-like family member 3	17:61391973-61406225	11189	CELF3
IL1A	IL1A	interleukin 1 alpha	17:37152126-37160990	3552	IL1A
LOC119870180	LOC119870180	translation initiation factor IF-2-like	1:65227525-65239688	<none>	<none>
LOC119877329	LOC119877329	"uncharacterized LOC119877329, transcript variant X2"	20:51217597-51220457	<none>	<none>
CPNE7	CPNE7	copine-7	5:64443812-64469864	27132	CPNE7
ZDHHC19	ZDHHC19	palmitoyltransferase ZDHHC19	33:29998746-30033332	131540	ZDHHC19
LOC102155864	LOC102155864	uncharacterized LOC102155864	8:42845494-42850967	<none>	<none>
UNC5C	UNC5C	netrin receptor UNC5C	32:21584814-21936742	8633	UNC5C
ENKUR	ENKUR	enkurin	2:6311130-6336653	219670	ENKUR
LOC119876043	LOC119876043	uncharacterized LOC119876043	2:3888235-3900079	<none>	<none>
AMBN	AMBN	ameloblastin	13:60959429-60972465	258	AMBN
GJB6	GJB6	gap junction beta-6 protein	25:17984771-17995017	10804	GJB6
ACSM5	ACSM5	"acyl-coenzyme A synthetase ACSM5, mitochondrial"	6:25145748-25181821	54988	ACSM5
DNAI3	DNAI3	"dynein intermediate chain 3, axonemal"	6:63377553-63457878	126820	DNAI3
DNAH2	DNAH2	"dynein heavy chain 2, axonemal"	5:32807941-32895531	146754	DNAH2
EPHB2	EPHB2	ephrin type-B receptor 2	2:75819294-75943710	2048	EPHB2
LOC119877176	LOC119877176	uncharacterized LOC119877176	17:57961903-57964080	<none>	<none>
SBSN	SBSN	suprabasin	1:117977394-117982074	374897	SBSN
OTUB2	OTUB2	ubiquitin thioesterase OTUB2	8:63424888-63441523	78990	OTUB2
